template_id,template_title,device_type,section_id,section_title,question_id,question,input_type,input_options,requires_photo_on_fail,required,display_order
dry_riser_system,Dry Riser System Checklist,DR,b_general_riser_inspection,B. General Riser Inspection,dry_riser_system_q0001,Check pillar / riser outlet is visible at all times and not obstructed,status,Pass / Fail / N/A,True,False,1
dry_riser_system,Dry Riser System Checklist,DR,b_general_riser_inspection,B. General Riser Inspection,dry_riser_system_q0002,Ensure every pillar / riser outlet has landing valve,status,Pass / Fail / N/A,True,False,2
dry_riser_system,Dry Riser System Checklist,DR,b_general_riser_inspection,B. General Riser Inspection,dry_riser_system_q0003,Ensure canvas hoses are in good condition,status,Pass / Fail / N/A,True,False,3
dry_riser_system,Dry Riser System Checklist,DR,b_general_riser_inspection,B. General Riser Inspection,dry_riser_system_q0004,Ensure nozzle is in good condition,status,Pass / Fail / N/A,True,False,4
dry_riser_system,Dry Riser System Checklist,DR,b_general_riser_inspection,B. General Riser Inspection,dry_riser_system_q0005,Ensure all valves are shut when not in use,status,Pass / Fail / N/A,True,False,5
dry_riser_system,Dry Riser System Checklist,DR,b_general_riser_inspection,B. General Riser Inspection,dry_riser_system_q0006,Ensure bleeding valves are opened for releasing air-lock,status,Pass / Fail / N/A,True,False,6
dry_riser_system,Dry Riser System Checklist,DR,b_general_riser_inspection,B. General Riser Inspection,dry_riser_system_q0007,Check breeching inlet to system available,status,Pass / Fail / N/A,True,False,7
dry_riser_system,Dry Riser System Checklist,DR,b_general_riser_inspection,B. General Riser Inspection,dry_riser_system_q0008,Ensure breeching inlet is in good condition,status,Pass / Fail / N/A,True,False,8
dry_riser_system,Dry Riser System Checklist,DR,c_quantity_summary,C. Quantity Summary,dry_riser_system_q0009,Dry / Wet Outlet,text,Text,False,False,9
dry_riser_system,Dry Riser System Checklist,DR,f_breeching_inlet_detailed_check,F. Breeching Inlet Detailed Check,dry_riser_system_q0010,Breeching inlet visible and accessible,status,Pass / Fail / N/A,True,False,10
dry_riser_system,Dry Riser System Checklist,DR,f_breeching_inlet_detailed_check,F. Breeching Inlet Detailed Check,dry_riser_system_q0011,Breeching inlet cap and chain condition,status,Pass / Fail / N/A,True,False,11
dry_riser_system,Dry Riser System Checklist,DR,f_breeching_inlet_detailed_check,F. Breeching Inlet Detailed Check,dry_riser_system_q0012,Breeching inlet valve condition,status,Pass / Fail / N/A,True,False,12
dry_riser_system,Dry Riser System Checklist,DR,f_breeching_inlet_detailed_check,F. Breeching Inlet Detailed Check,dry_riser_system_q0013,Breeching inlet signage / label condition,status,Pass / Fail / N/A,True,False,13
dry_riser_system,Dry Riser System Checklist,DR,f_breeching_inlet_detailed_check,F. Breeching Inlet Detailed Check,dry_riser_system_q0014,Breeching inlet cabinet condition if applicable,status,Pass / Fail / N/A,True,False,14
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,c_master_control_panel_checks,C. Master Control Panel Checks,fire_alarm_control_panel_q0001,Check power supply of master control panel,status,Pass / Fail / N/A,True,False,1
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,c_master_control_panel_checks,C. Master Control Panel Checks,fire_alarm_control_panel_q0002,Check standby battery condition,status,Pass / Fail / N/A,True,False,2
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,c_master_control_panel_checks,C. Master Control Panel Checks,fire_alarm_control_panel_q0003,Check charger condition,status,Pass / Fail / N/A,True,False,3
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,c_master_control_panel_checks,C. Master Control Panel Checks,fire_alarm_control_panel_q0004,Record battery voltage,number,Number / remark,False,False,4
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,c_master_control_panel_checks,C. Master Control Panel Checks,fire_alarm_control_panel_q0005,Record charger voltage,number,Number / remark,False,False,5
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,c_master_control_panel_checks,C. Master Control Panel Checks,fire_alarm_control_panel_q0006,Check panel normal / fault / isolate status,status,Pass / Fail / N/A,True,False,6
fire_alarm_control_panel,Fire Alarm Control Panel Checklist,FAP,c_master_control_panel_checks,C. Master Control Panel Checks,fire_alarm_control_panel_q0007,Check panel history / event log,text,Remark,False,False,7
